userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
13,12,77.0,32.0,50.5,78.5,31.5,0.0,111.0,42.0,0.0,3.0,20.5,11.0,14.5,39.0,21.5,26.0,22.0,9.5
14,7,25.0,14.0,22.0,36.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,4.0,0.0,6.0,24.0,6.0,0.0,0.0
15,473,784.5,176.5,166.5,1583.0,803.0,279.0,2093.5,308.0,71.5,225.0,200.5,76.0,416.5,763.5,676.0,1263.0,178.5,52.0
16,6,15.0,0.0,0.0,45.5,24.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,9.0,50.5,21.0,32.0,8.0,4.0
17,76,137.0,13.5,11.5,243.5,414.5,16.0,784.5,90.0,99.0,193.5,2.0,18.5,366.0,213.5,264.5,651.0,52.5,15.5
18,16,33.0,0.0,0.0,46.0,25.0,0.0,77.0,7.0,0.0,3.0,0.0,0.0,12.0,43.0,25.0,75.0,0.0,0.0
19,99,243.0,66.0,102.0,420.0,253.0,12.0,755.0,121.0,39.0,136.0,11.0,80.0,139.0,314.0,179.0,397.0,108.0,39.0
20,24,114.0,54.0,54.0,147.0,28.0,0.0,143.5,30.5,0.0,4.0,14.5,18.5,13.0,79.0,43.0,43.5,34.5,5.0
21,50,162.0,25.0,57.0,155.0,63.0,0.0,241.0,63.0,7.0,48.0,3.0,58.0,38.0,95.0,127.0,125.0,72.0,25.0
22,104,234.0,50.5,57.0,207.0,144.0,0.0,173.5,133.5,4.5,124.5,19.5,27.5,123.5,78.0,227.5,290.0,16.5,9.0
23,135,399.5,65.0,87.5,705.5,494.5,34.0,1708.0,183.5,80.5,119.5,50.0,77.0,279.0,600.0,234.5,576.0,209.5,54.0
24,11,34.0,6.0,3.0,19.0,27.0,0.0,34.0,0.0,0.0,3.0,3.0,3.0,4.0,15.0,10.0,46.0,8.0,4.0
25,8,19.0,3.0,5.0,35.0,19.0,0.0,32.0,11.0,0.0,2.0,0.0,5.0,5.0,12.0,19.0,35.0,0.0,0.0
26,73,139.5,50.5,45.0,205.0,262.0,3.5,286.0,45.0,4.0,9.5,40.0,0.0,87.5,53.5,87.0,249.0,33.5,7.5
27,1,4.0,0.0,0.0,16.0,27.0,0.0,62.0,0.0,0.0,10.0,0.0,0.0,13.0,19.0,4.0,36.0,10.0,0.0
28,9,27.0,0.0,2.0,67.0,43.0,0.0,137.0,6.0,14.0,5.0,0.0,5.0,30.0,76.0,18.0,57.0,32.0,0.0
29,8,7.5,0.0,1.5,13.0,10.0,0.0,25.5,10.5,0.0,22.5,14.5,0.0,5.0,3.5,18.0,25.5,4.5,0.0
30,165,376.0,83.0,180.0,1290.0,723.5,27.0,2235.5,204.0,50.0,199.0,13.0,155.0,349.0,721.0,267.0,1043.0,169.0,93.5
31,21,59.0,20.0,20.0,91.5,82.5,4.0,143.0,50.5,0.0,0.0,25.5,7.5,21.0,28.0,48.0,64.5,21.5,4.0
32,21,60.0,8.0,18.0,54.0,28.0,0.0,72.0,19.0,0.0,0.0,10.0,8.0,3.0,27.0,29.0,47.0,13.0,16.0
33,16,64.0,4.0,15.0,294.0,66.0,21.0,129.0,28.0,0.0,54.0,0.0,8.0,35.0,76.0,17.0,80.0,1.0,0.0
34,60,161.0,12.0,14.0,131.0,132.0,17.0,372.0,37.0,19.0,125.0,8.0,25.0,90.0,64.0,191.0,242.0,97.0,40.0
35,4,4.0,1.5,1.5,19.0,14.0,0.0,27.0,2.5,0.0,2.0,0.0,3.0,0.0,17.5,6.5,15.0,1.0,0.0
36,15,38.0,10.0,19.0,137.0,73.0,4.0,232.0,13.0,0.0,17.0,0.0,10.0,12.0,95.0,25.0,102.0,14.0,9.0
37,6,24.0,31.0,35.0,59.0,11.0,0.0,65.0,9.0,0.0,0.0,10.0,20.0,0.0,68.0,6.0,11.0,9.0,0.0
38,23,81.0,20.0,15.5,101.5,114.0,9.5,365.0,32.5,0.0,4.5,28.0,15.0,54.5,81.5,44.5,71.0,54.0,3.5
39,25,45.0,6.0,6.0,58.0,68.0,5.0,72.0,14.0,0.0,58.0,7.0,6.0,28.0,16.0,32.0,115.0,8.0,7.0
40,21,72.5,13.0,13.0,42.0,45.5,0.0,88.5,28.0,0.0,4.5,26.5,4.5,41.5,19.0,68.5,81.5,8.0,4.0
41,96,273.0,18.5,59.0,142.5,30.5,0.0,215.5,78.5,4.0,98.5,8.0,80.5,42.5,63.5,474.0,233.0,15.0,3.5
42,44,143.5,18.5,23.5,35.5,61.5,0.0,97.0,45.5,0.0,6.5,60.5,4.0,25.0,26.5,110.0,103.0,26.0,0.0
43,17,54.0,24.0,47.0,230.0,17.0,0.0,133.0,33.0,0.0,20.0,0.0,19.0,12.0,90.0,27.0,33.0,21.0,3.0
44,10,29.0,4.0,4.0,27.0,6.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,9.0,20.0,14.0,41.0,0.0,0.0
45,2,7.0,0.0,0.0,23.5,9.5,0.0,43.5,11.5,4.5,7.0,0.0,4.0,5.0,26.5,8.5,18.0,0.5,0.0
46,15,60.0,15.0,34.0,83.0,64.0,0.0,70.0,39.5,0.0,5.0,35.0,0.0,15.0,10.0,25.0,35.0,10.0,0.0
47,19,58.0,12.0,20.0,40.0,40.0,0.0,44.0,16.0,0.0,8.0,7.0,7.0,11.0,17.0,32.0,69.0,13.0,3.0
48,163,511.0,427.5,265.0,537.0,210.0,106.5,740.5,323.5,4.5,229.0,233.5,41.0,189.5,239.5,465.5,470.5,76.5,15.0
49,52,200.0,5.0,46.0,85.0,12.0,0.0,147.0,53.0,0.0,8.0,0.0,15.0,8.0,48.0,74.0,51.0,122.0,13.0
50,22,44.0,0.0,0.0,51.0,24.0,0.0,63.0,7.0,0.0,3.0,3.0,0.0,6.0,36.0,29.0,70.0,16.0,10.0
51,7,30.0,10.0,15.0,46.0,19.0,0.0,45.0,15.0,4.0,23.0,0.0,0.0,27.0,18.0,20.0,50.0,5.0,2.0
52,5,31.5,3.5,8.5,96.0,14.0,0.0,183.5,28.0,0.0,2.5,15.0,7.5,9.5,158.5,4.0,25.5,10.0,0.0
53,14,24.0,6.0,9.0,43.0,20.0,0.0,58.0,7.0,0.0,18.0,0.0,6.0,6.0,13.0,26.0,44.0,0.0,0.0
54,13,39.5,20.5,16.5,48.0,60.5,0.0,90.5,12.5,0.0,2.0,8.0,5.0,12.0,32.0,25.0,62.0,8.0,8.5
55,15,43.0,3.0,9.0,50.0,18.0,0.0,30.0,19.0,0.0,4.0,0.0,3.0,9.0,19.0,22.0,68.0,0.0,0.0
56,110,313.0,132.0,183.0,876.0,304.0,89.0,939.0,198.0,30.0,49.0,75.0,94.0,109.0,349.0,150.0,313.0,63.0,48.0
57,42,103.0,5.0,50.0,287.0,129.0,0.0,416.0,101.0,12.0,96.0,0.0,51.0,74.0,206.0,46.0,173.0,66.0,29.0
58,18,56.0,7.0,33.0,99.0,11.0,0.0,85.0,11.0,6.0,33.0,5.0,0.0,31.0,26.0,51.0,83.0,20.0,4.0
59,26,64.5,25.0,24.5,85.0,61.0,4.0,118.0,34.0,0.0,11.5,6.0,1.5,11.0,27.5,26.5,59.5,9.5,3.5
60,14,34.0,21.5,8.5,78.0,46.5,0.0,125.0,26.0,0.0,21.5,0.0,1.5,4.5,34.0,39.5,41.0,37.5,12.0
61,33,191.0,123.5,182.0,309.5,58.5,6.5,165.0,182.0,0.0,10.5,45.0,71.5,12.5,125.0,79.5,76.0,0.0,0.0
62,28,62.5,5.0,5.0,29.0,57.0,7.5,121.0,10.0,0.0,0.0,33.0,0.0,31.5,9.0,80.5,86.0,19.0,0.0
63,33,142.5,32.0,31.0,127.0,61.0,0.5,144.0,53.5,0.0,25.5,4.0,4.0,15.5,68.0,81.5,82.0,5.0,12.5
64,8,28.0,3.0,3.0,23.0,31.0,0.0,47.0,3.0,0.0,10.0,6.0,3.0,0.0,19.0,4.0,33.0,13.0,10.0
65,3,22.0,0.0,0.0,56.0,18.0,5.0,60.0,10.0,0.0,0.0,0.0,14.0,0.0,12.0,18.0,4.0,21.0,4.0
66,26,47.0,0.0,0.0,26.0,79.0,0.0,82.0,3.0,4.0,14.0,0.0,0.0,18.0,27.0,58.0,107.0,8.0,0.0
67,29,92.0,27.0,68.0,87.0,72.0,0.0,214.0,45.0,0.0,15.0,9.0,26.0,18.0,78.0,43.0,98.0,17.0,19.0
68,27,152.5,37.5,62.0,216.0,28.0,0.0,197.0,104.0,0.0,11.0,8.0,26.5,26.5,157.0,64.0,73.5,12.0,3.5
69,6,106.0,54.5,103.0,211.5,21.0,0.0,120.5,96.5,0.0,0.0,9.0,33.0,12.5,80.5,36.0,20.0,14.5,4.5
70,22,92.0,22.0,49.0,138.0,46.0,0.0,120.0,39.0,0.0,19.0,0.0,20.0,12.0,69.0,43.0,127.0,0.0,0.0
71,2,13.0,0.0,0.0,21.0,15.0,4.0,48.0,5.0,19.0,8.0,0.0,3.0,20.0,22.0,11.0,10.0,0.0,0.0
72,78,178.0,35.5,37.5,153.5,136.5,0.0,339.5,74.0,0.0,50.0,65.5,9.5,54.5,95.5,157.5,190.5,59.5,14.5
73,549,1269.5,491.5,417.0,1885.5,1024.5,31.0,2254.0,669.5,44.5,748.0,247.5,156.0,395.5,624.0,995.0,1590.0,218.5,104.0
74,21,45.0,4.0,7.0,47.0,29.0,0.0,105.0,13.0,0.0,12.0,0.0,4.0,4.0,36.0,45.0,49.0,29.0,0.0
75,45,129.0,8.5,23.5,143.5,64.0,8.0,142.0,71.5,0.0,54.5,4.5,10.0,62.5,77.5,141.5,149.0,19.5,16.0
76,3,11.0,3.5,8.5,38.5,3.5,0.0,36.5,9.0,0.0,0.0,0.0,3.5,3.5,12.0,0.0,19.0,3.5,11.0
77,133,397.0,137.0,135.0,397.5,148.0,1.5,267.5,220.5,4.5,81.5,28.5,67.5,36.0,102.5,363.5,272.0,41.5,13.5
78,98,335.0,33.5,36.0,265.0,191.5,53.0,485.0,100.0,4.0,135.0,77.5,26.0,106.0,133.0,285.0,425.5,43.0,4.0
79,32,84.0,14.0,21.5,39.5,16.5,0.0,41.5,35.0,0.0,4.5,6.0,2.5,2.5,21.0,54.5,34.0,7.5,0.0
80,8,22.0,21.0,20.0,47.0,37.0,0.0,69.0,6.0,0.0,4.0,0.0,9.0,13.0,25.0,16.0,44.0,5.0,5.0
81,8,38.0,21.0,8.5,106.5,60.0,17.0,525.5,65.5,13.0,30.5,6.0,21.0,65.5,102.5,44.5,75.5,21.0,16.0
82,14,41.0,13.0,21.0,49.0,37.0,0.0,58.0,11.0,0.0,9.0,13.0,13.0,11.0,26.0,15.0,49.0,14.0,8.0
83,22,77.5,17.0,29.0,444.0,96.5,4.0,238.5,45.0,0.0,29.0,5.0,21.0,42.0,144.5,49.0,79.0,58.0,18.0
84,65,169.5,29.0,29.5,112.0,101.5,0.0,170.5,74.0,3.5,15.0,71.5,0.0,32.0,47.5,88.0,160.5,47.5,7.0
85,42,93.0,20.0,36.0,142.0,69.0,0.0,95.0,39.0,0.0,17.0,6.0,13.0,17.0,38.0,56.0,132.0,19.0,15.0
86,17,59.0,43.0,60.0,235.0,86.0,13.0,450.0,45.0,0.0,18.0,11.0,43.0,33.0,173.0,61.0,87.0,30.0,6.0
87,11,33.0,5.0,6.0,53.0,21.0,0.0,34.0,6.0,0.0,0.0,0.0,3.0,6.0,22.0,13.0,34.0,0.0,0.0
88,64,197.5,69.0,96.0,368.0,131.0,0.0,408.5,159.5,11.0,28.0,37.5,57.0,65.5,249.5,97.0,182.0,23.0,6.0
89,38,143.5,27.0,40.5,90.0,56.0,0.0,80.0,60.5,4.0,17.0,25.0,23.0,22.0,9.5,74.0,100.5,15.0,14.0
90,15,49.0,10.0,25.0,53.0,46.0,0.0,78.0,19.0,0.0,9.0,0.0,9.0,30.0,44.0,40.0,89.0,4.0,5.0
91,69,214.5,83.0,72.5,356.0,123.0,0.0,113.0,67.0,0.0,19.0,69.5,9.0,36.0,71.0,131.0,119.5,30.0,0.0
92,45,88.0,20.0,36.0,156.0,84.0,0.0,142.0,40.0,0.0,34.0,9.0,12.0,29.0,75.0,55.0,135.0,25.0,22.0
93,32,178.0,62.5,89.5,297.0,65.0,0.0,300.0,103.5,0.0,6.0,35.5,36.5,23.0,200.5,63.0,80.0,11.0,20.0
94,64,158.0,49.0,51.0,178.5,154.5,3.0,383.0,59.5,11.0,22.0,54.0,16.5,76.0,110.5,120.0,166.5,61.5,6.5
95,66,155.0,33.0,37.0,420.0,110.0,0.0,343.0,89.0,4.0,495.0,9.0,29.0,75.0,159.0,192.0,366.0,19.0,17.0
96,3,10.0,0.0,0.0,89.5,86.5,0.0,193.0,9.5,59.5,13.0,0.0,0.0,81.5,110.5,4.0,113.5,21.0,4.5
97,37,99.5,20.0,12.5,191.0,85.0,0.0,175.5,45.0,4.0,10.0,6.0,14.0,35.0,77.5,60.5,81.0,30.0,9.0
98,17,64.0,18.5,19.0,205.5,22.5,0.0,116.5,53.5,0.0,39.0,12.0,9.0,14.5,150.5,19.5,38.0,16.0,5.0
99,35,121.0,66.0,86.0,189.0,103.0,4.0,367.0,57.0,16.0,20.0,5.0,87.0,57.0,202.0,50.0,113.0,79.0,5.0
100,9,29.0,11.0,16.0,38.0,7.0,0.0,24.0,12.0,0.0,0.0,0.0,8.0,8.0,24.0,12.0,34.0,0.0,0.0
101,34,71.5,4.0,0.0,39.5,58.5,0.0,76.5,14.5,4.0,14.5,19.5,0.0,20.5,2.5,101.5,79.0,13.5,2.5
102,82,317.0,88.0,155.0,858.0,380.0,78.0,1615.0,200.0,81.0,272.0,9.0,182.0,214.0,460.0,181.0,490.0,197.0,93.0
103,52,85.5,15.0,4.0,52.5,58.5,0.0,109.5,50.0,5.0,77.0,3.5,0.0,46.5,31.0,148.5,160.0,4.0,2.0
104,51,142.0,13.5,9.0,40.0,77.0,0.0,113.5,60.0,0.0,19.0,81.5,0.0,28.5,20.5,125.0,109.5,19.0,0.0
105,162,289.0,28.5,38.5,625.5,465.5,22.0,918.0,125.0,25.5,140.0,9.5,37.5,155.5,314.5,199.5,550.5,89.0,28.0
106,5,36.0,34.0,48.5,100.5,5.0,0.0,72.0,33.0,0.0,22.0,9.0,6.5,16.0,32.0,25.0,36.0,0.0,0.0
107,8,13.0,4.0,4.0,14.5,28.0,4.0,53.5,4.0,0.0,9.0,4.0,0.0,7.5,6.5,27.0,44.5,9.5,0.5
108,12,41.0,15.0,18.0,32.0,20.0,0.0,43.0,8.0,0.0,8.0,10.0,15.0,2.0,19.0,16.0,47.0,10.0,3.0
109,10,25.0,0.0,0.0,19.5,38.5,0.0,34.5,8.0,0.0,5.0,0.0,0.0,17.0,21.5,18.5,47.0,0.0,4.5
110,45,105.0,10.0,22.0,220.0,73.0,0.0,160.0,16.0,0.0,11.0,11.0,10.0,26.0,136.0,50.0,188.0,20.0,19.0
111,73,195.0,29.0,70.0,678.0,167.0,30.0,464.5,93.5,4.0,29.0,15.0,70.0,56.0,352.0,136.5,220.0,52.0,20.5
112,8,24.0,5.0,10.0,32.0,8.0,0.0,28.0,10.0,0.0,0.0,0.0,5.0,5.0,24.0,12.0,40.0,9.0,0.0
113,7,23.0,5.0,20.0,42.0,33.0,0.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,31.0,5.0,0.0
114,11,39.0,15.0,29.0,33.0,24.0,0.0,31.0,5.0,0.0,6.0,10.0,15.0,0.0,19.0,8.0,44.0,5.0,4.0
115,8,44.0,7.5,17.5,114.5,43.5,0.0,58.5,28.0,0.0,4.0,0.0,5.0,14.0,41.0,17.0,31.5,3.0,0.0
116,13,49.0,5.0,5.0,28.5,23.5,0.0,40.0,26.5,0.0,8.0,0.0,0.0,10.0,12.5,15.0,32.5,10.5,0.0
117,2,0.5,0.0,0.0,67.0,18.0,0.0,197.5,8.5,0.0,1.0,0.0,5.0,3.0,83.5,0.5,6.5,7.5,0.0
118,56,145.0,10.0,19.0,136.0,185.0,5.0,342.0,14.0,39.0,62.0,0.0,3.0,115.0,70.0,237.0,335.0,47.0,15.0
119,173,458.0,86.0,159.0,775.0,351.0,6.0,1134.0,270.0,24.0,193.0,10.0,112.0,178.0,335.0,345.0,546.0,154.0,87.0
120,45,85.0,11.0,17.5,206.5,77.5,3.0,171.5,34.5,4.5,37.5,7.0,3.0,67.5,81.5,88.5,190.5,17.0,2.5
121,24,64.0,23.0,25.0,105.0,50.0,5.0,165.0,20.0,0.0,14.0,12.0,16.0,10.0,105.0,43.0,91.0,18.0,17.0
122,11,31.0,9.0,9.0,31.0,18.0,0.0,70.0,9.0,0.0,3.0,6.0,6.0,0.0,34.0,11.0,24.0,13.0,3.0
123,3,3.0,0.0,0.0,40.0,20.0,0.0,33.0,0.0,0.0,53.0,0.0,0.0,18.0,8.0,23.0,59.0,0.0,0.0
124,40,102.0,38.0,41.0,85.5,69.5,0.0,150.0,44.0,4.0,32.5,0.0,4.5,38.5,41.5,58.0,108.0,36.5,3.0
125,61,211.0,47.0,78.0,382.0,165.5,0.0,388.5,108.0,12.5,9.5,28.0,33.5,80.0,210.5,131.0,189.5,37.5,17.0
126,18,74.0,35.0,55.0,94.0,27.0,4.0,79.0,34.0,0.0,4.0,13.0,27.0,6.0,58.0,32.0,60.0,12.0,7.0
127,8,15.0,0.0,4.0,60.0,7.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,7.0,38.0,3.0,25.0,4.0,0.0
128,78,278.0,161.0,217.0,394.0,168.0,0.0,550.0,149.0,2.0,91.0,11.0,166.0,115.0,439.0,83.0,393.0,51.0,8.0
129,10,29.0,10.0,10.0,30.0,15.0,0.0,31.0,0.0,3.0,6.0,0.0,0.0,0.0,17.0,6.0,21.0,9.0,3.0
130,128,412.0,111.5,174.5,498.0,197.0,4.0,454.5,203.0,7.5,38.5,30.5,113.0,52.5,196.5,232.5,264.0,75.5,36.0
131,9,7.0,2.0,8.0,70.0,17.0,0.0,108.0,18.0,0.0,14.0,0.0,2.0,10.0,51.0,4.0,15.0,26.0,2.0
132,10,78.0,71.5,47.0,205.5,44.5,5.0,285.5,65.0,0.0,3.5,9.5,23.0,12.0,105.0,26.0,49.0,21.0,3.5
133,23,83.5,26.5,35.5,123.0,47.0,4.5,339.5,67.5,0.0,1.0,35.5,22.5,32.5,115.5,20.5,53.0,30.0,8.5
134,115,373.0,63.5,95.0,495.5,215.5,6.0,426.0,176.5,4.5,199.0,55.0,30.0,121.0,142.5,341.0,423.5,34.5,12.5
135,5,8.0,0.0,6.0,33.0,14.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0
136,17,118.5,47.0,79.5,84.0,11.5,0.0,53.0,62.0,0.0,0.0,20.0,20.5,0.0,22.5,43.5,11.0,0.0,0.0
137,24,128.0,26.0,64.0,112.0,35.0,0.0,97.0,55.0,4.0,8.0,10.0,32.0,22.0,55.0,106.0,72.0,4.0,4.0
138,33,75.0,5.0,7.0,33.0,69.0,8.5,159.0,27.5,0.0,6.5,38.0,0.5,24.5,14.5,65.5,65.0,27.5,8.0
139,16,46.0,0.0,13.0,97.0,29.0,0.0,111.0,8.5,0.0,9.0,0.0,6.0,16.0,30.0,90.5,59.0,11.5,0.0
140,7,47.0,20.5,25.5,69.5,28.0,0.0,67.0,41.5,0.0,4.5,19.5,8.5,10.0,40.5,18.5,19.5,4.5,0.0
141,16,23.0,0.0,0.0,5.0,24.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,24.0,49.0,22.0,0.0
142,9,40.0,8.0,19.0,68.0,32.0,0.0,78.0,19.0,0.0,25.0,3.0,11.0,12.0,13.0,18.0,31.0,6.0,7.0
143,17,30.5,3.0,4.0,91.0,113.0,4.5,169.0,17.0,10.5,9.0,7.5,7.5,24.0,67.5,25.5,93.5,13.5,5.0
144,17,41.0,8.0,10.0,33.0,33.0,0.0,66.0,2.0,0.0,8.0,8.0,8.0,9.0,18.0,23.0,79.0,11.0,13.0
145,16,58.0,13.0,17.0,66.0,33.0,0.0,56.0,23.0,0.0,8.0,12.0,13.0,10.0,29.0,35.0,82.0,14.0,0.0
146,36,119.0,42.0,53.5,95.5,46.0,0.0,66.5,20.0,0.0,7.5,27.5,16.0,11.5,44.0,61.0,77.0,11.5,6.5
147,4,29.5,20.5,27.5,75.0,49.0,0.0,94.5,16.0,0.0,5.0,8.0,20.0,8.0,44.0,3.5,37.0,9.0,0.0
148,30,123.5,47.5,77.0,202.0,70.0,13.0,209.5,87.0,19.5,23.0,8.5,30.5,104.5,88.0,122.5,134.0,23.0,11.5
149,59,197.0,96.5,79.0,344.5,111.0,10.5,363.5,141.5,4.0,57.5,67.5,26.0,75.5,217.0,133.5,189.0,25.0,1.5
150,177,356.0,23.0,55.5,508.5,258.5,4.5,402.0,113.0,11.0,65.0,18.0,16.5,103.0,176.0,247.5,503.5,35.5,14.0
151,25,69.0,11.0,21.0,81.0,39.0,0.0,96.0,21.0,0.0,3.0,13.0,11.0,20.0,48.0,46.0,106.0,22.0,11.0
152,81,231.5,40.0,52.5,183.0,169.0,7.0,387.0,91.0,7.5,33.5,74.0,7.5,92.0,123.5,191.0,283.0,79.0,11.0
153,9,48.0,21.0,36.0,64.0,27.0,0.0,130.0,36.0,3.0,12.0,0.0,0.0,13.0,54.0,36.0,35.0,13.0,0.0
154,3,34.0,20.0,23.0,64.0,17.0,0.0,36.0,13.0,0.0,3.0,0.0,12.0,5.0,26.0,17.0,18.0,0.0,0.0
155,27,64.0,5.0,9.0,39.0,23.0,0.0,67.0,7.0,0.0,25.0,0.0,0.0,15.0,18.0,111.0,61.0,17.0,5.0
156,6,14.5,5.0,9.5,102.5,43.5,0.0,130.5,8.5,0.0,0.0,0.5,0.0,13.5,41.0,9.5,38.5,4.5,0.0
157,165,297.0,105.0,52.0,306.0,249.0,3.5,447.5,127.0,8.0,166.5,98.5,15.0,134.0,94.0,366.5,430.0,65.5,3.5
158,10,22.5,5.5,1.5,24.5,11.0,0.0,28.0,12.5,0.0,7.5,4.0,4.0,3.5,3.0,12.5,23.5,0.0,0.0
159,49,136.0,29.5,31.0,133.0,127.5,0.0,287.0,50.0,12.0,16.0,7.0,9.0,72.5,86.5,80.0,175.5,60.5,24.5
160,5,5.0,2.0,13.0,175.0,61.0,0.0,266.0,20.0,3.0,8.0,0.0,8.0,26.0,131.0,5.0,65.0,11.0,0.0
161,34,72.0,12.0,31.0,118.0,54.0,0.0,137.0,28.0,0.0,5.0,10.0,12.0,18.0,84.0,38.0,115.0,13.0,20.0
162,6,11.0,0.0,0.0,48.0,14.0,0.0,52.0,3.0,0.0,0.0,0.0,0.0,3.0,46.0,6.0,32.0,0.0,0.0
163,34,79.5,14.0,19.5,57.5,53.0,0.0,135.0,31.5,0.0,12.5,28.0,2.5,9.0,35.0,51.0,58.5,31.5,0.0
164,22,93.0,34.0,40.0,143.5,51.0,8.5,130.5,42.0,12.0,3.5,7.0,16.5,26.0,55.5,40.5,76.0,7.0,0.0
165,144,248.5,84.0,138.0,536.0,243.5,17.5,577.0,133.5,4.0,189.0,16.5,53.0,127.5,209.5,209.0,426.5,46.5,8.5
166,22,63.0,19.5,23.5,77.0,31.5,5.0,88.5,31.0,0.0,0.0,0.0,4.0,4.5,26.0,30.5,42.5,13.0,12.5
167,8,20.0,13.0,31.0,44.0,7.0,0.0,22.0,10.0,0.0,17.0,0.0,9.0,5.0,4.0,58.0,24.0,0.0,0.0
168,35,71.0,9.0,29.0,150.0,90.0,0.0,165.0,27.0,3.0,12.0,8.0,17.0,25.0,78.0,55.0,124.0,15.0,13.0
169,37,175.5,77.0,108.0,172.0,75.0,0.0,171.0,108.0,4.0,9.0,42.5,25.0,41.5,112.0,83.0,127.5,14.5,0.0
170,9,18.0,6.5,6.5,19.0,7.0,0.0,34.5,8.0,0.0,0.0,0.0,2.0,7.0,6.0,22.5,16.0,6.5,0.0
171,5,19.0,7.0,7.0,94.0,75.0,0.0,104.0,3.0,3.0,6.0,0.0,4.0,21.0,18.0,3.0,61.0,5.0,0.0
172,3,21.0,6.0,18.0,31.0,22.0,0.0,49.0,0.0,0.0,0.0,7.0,11.0,8.0,17.0,6.0,26.0,7.0,3.0
173,16,62.0,13.0,24.0,73.0,28.0,0.0,47.0,18.0,3.0,4.0,0.0,7.0,4.0,31.0,28.0,59.0,4.0,0.0
174,6,11.5,7.5,7.5,42.0,0.5,1.0,22.0,0.0,0.5,3.5,0.0,9.0,0.5,31.0,9.5,7.5,3.5,1.5
175,25,142.0,77.0,120.0,165.0,42.0,5.0,203.0,74.0,4.0,9.0,23.0,79.0,14.0,134.0,72.0,62.0,16.0,0.0
176,92,256.0,136.0,117.5,217.5,97.0,26.0,322.5,186.5,7.5,40.0,69.5,92.0,53.5,174.5,155.0,170.0,37.5,10.5
177,106,251.0,40.0,66.0,230.0,186.0,0.0,223.0,77.0,12.0,106.0,5.0,11.0,109.0,84.0,321.0,514.0,21.0,13.0
178,29,77.5,36.5,47.0,186.0,88.5,8.0,270.5,59.0,0.0,23.5,16.5,51.0,13.0,47.0,57.5,87.5,37.5,11.0
179,9,67.5,16.5,21.5,96.0,4.5,0.0,55.5,61.0,0.0,0.0,12.0,0.0,13.0,42.5,10.0,18.0,0.0,0.0
180,7,15.0,6.0,9.0,41.0,6.0,0.0,29.0,18.0,0.0,3.0,0.0,7.0,4.0,16.0,20.0,13.0,4.0,0.0
181,12,25.0,4.0,0.0,43.5,47.5,0.0,45.0,9.0,0.0,3.5,0.0,4.0,21.0,9.0,16.0,66.0,4.0,0.0
